Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2019,Aabenraa,2003.0,Kvinde,334,165.5988023952096,58745.80838323353,0.8982035928143712,78.44311377245509,16.16766467065868,4.491017964071856,Rural
2020,Aabenraa,2004.0,Kvinde,366,165.16120218579235,59361.74863387978,1.912568306010929,72.1311475409836,19.672131147540984,6.284153005464481,Rural
2021,Aabenraa,2005.0,Kvinde,344,164.86918604651163,58451.74418604651,1.1627906976744187,74.70930232558139,18.6046511627907,5.523255813953488,Rural
2022,Aabenraa,2006.0,Kvinde,285,166.03157894736842,59179.649122807015,2.807017543859649,76.84210526315789,15.087719298245613,5.263157894736842,Rural
2023,Aabenraa,2007.0,Kvinde,297,165.45117845117846,58130.639730639734,2.0202020202020203,76.76767676767676,18.181818181818183,3.0303030303030303,Rural
2024,Aabenraa,2008.0,Kvinde,281,165.49466192170817,58659.430604982204,2.135231316725979,74.73309608540926,17.793594306049823,5.338078291814947,Rural
2025,Aabenraa,2009.0,Kvinde,290,165.60689655172413,59167.58620689655,1.3793103448275863,76.89655172413794,17.586206896551722,4.137931034482759,Rural
2014,Aabenraa,1998.0,Mand,322,175.76708074534162,65402.48447204969,2.484472049689441,76.08695652173914,16.459627329192546,4.968944099378882,Rural
2015,Aabenraa,1999.0,Mand,346,174.79768786127167,65365.89595375722,2.023121387283237,74.56647398843931,18.497109826589593,4.913294797687861,Rural
2016,Aabenraa,2000.0,Mand,412,174.64563106796118,65684.46601941748,1.4563106796116505,75.24271844660194,16.019417475728158,7.281553398058252,Rural
2017,Aabenraa,2001.0,Mand,334,174.89820359281438,65402.09580838323,2.095808383233533,72.15568862275448,20.35928143712575,5.389221556886228,Rural
2018,Aabenraa,2002.0,Mand,355,172.99154929577466,62675.49295774648,2.535211267605634,75.49295774647888,18.028169014084508,3.943661971830986,Rural
2019,Aabenraa,2003.0,Mand,332,173.1144578313253,63323.79518072289,2.4096385542168677,74.3975903614458,16.265060240963855,6.927710843373494,Rural
