Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
7618,"0,10","0,00","0,00","0,14","72,62","0,11","1,08",2,"0,00"
28013,"0,21","0,00","0,01","0,35","86,96","0,24","1,62",3,"0,01"
24559,"0,47","0,01","0,07","0,77","87,66","0,61","2,83",4,"0,06"
40523,"0,57","0,02","0,18","0,93","86,91","0,89","3,49",5,"0,12"
28410,"0,72","0,04","0,40","1,19","81,53","1,43","4,36",6,"0,27"
43158,"0,71","0,07","0,69","1,25","69,89","1,88","4,87",7,"0,41"
29756,"0,71","0,10","1,04","1,38","59,79","2,40","5,26",8,"0,56"
29220,"0,61","0,11","1,21","1,39","52,39","2,44","4,97",9,"0,51"
28774,"0,46","0,09","1,05","1,18","41,80","1,97","4,28",10,"0,37"
28419,"0,27","0,07","0,72","0,78","26,30","1,26","3,42",11,"0,20"
41228,"0,12","0,03","0,32","0,36","12,39","0,57","2,62",12,"0,09"
26714,"0,05","0,01","0,13","0,15","4,71","0,23","2,04",13,"0,04"
30441,"0,02","0,00","0,04","0,05","1,61","0,08","1,61",14,"0,01"
40771,"0,00","0,00","0,02","0,02","0,70","0,04","2,04",15,"0,01"
27674,"0,00","0,00","0,02","0,01","0,42","0,03","1,56",16,"0,01"
29411,"0,00","0,00","0,02","0,01","0,35","0,03","1,78",17,"0,01"
26563,"0,00","0,00","0,02","0,01","0,32","0,03","1,68",18,"0,00"
18577,"0,00","0,00","0,02","0,01","0,29","0,03","1,79",19,"0,00"
17647,"0,00","0,00","0,02","0,01","0,27","0,03","1,89",20,"0,00"
50,"0,00","0,00","0,00","0,00","0,70","0,00","0,00",21,
25,"0,04","0,04","0,20","0,12","0,80","0,48","2,16",22,"0,20"
