Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8763,"0,07","0,00","0,00","0,12","75,52","0,07","0,96",2,"0,00"
32322,"0,14","0,00","0,01","0,31","86,67","0,16","1,43",3,"0,01"
30643,"0,30","0,01","0,05","0,67","87,70","0,40","2,26",4,"0,05"
50378,"0,42","0,02","0,19","0,84","87,07","0,74","3,16",5,"0,11"
35499,"0,53","0,05","0,50","1,08","81,87","1,30","4,28",6,"0,22"
52702,"0,53","0,08","0,92","1,14","70,98","1,91","4,90",7,"0,37"
34240,"0,48","0,12","1,45","1,35","60,43","2,53","5,38",8,"0,48"
34390,"0,42","0,12","1,74","1,37","53,11","2,80","5,34",9,"0,51"
34734,"0,34","0,12","1,63","1,18","42,84","2,52","4,93",10,"0,43"
34158,"0,23","0,09","1,19","0,83","27,67","1,79","4,22",11,"0,28"
50509,"0,12","0,05","0,60","0,40","13,60","0,91","3,33",12,"0,14"
32021,"0,05","0,02","0,27","0,18","5,07","0,41","2,81",13,"0,07"
33332,"0,02","0,01","0,10","0,06","1,78","0,14","2,10",14,"0,02"
51148,"0,01","0,00","0,05","0,02","0,80","0,07","2,00",15,"0,01"
30662,"0,00","0,00","0,04","0,01","0,46","0,06","2,40",16,"0,01"
33498,"0,00","0,00","0,03","0,01","0,35","0,04","1,92",17,"0,01"
28507,"0,00","0,00","0,03","0,01","0,31","0,04","1,93",18,"0,00"
212,"0,01","0,00","0,02","0,01","0,32","0,03","1,13",19,
11,,,,,"0,00",,,20,
