Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
7230,"0,08","0,00","0,00","0,12","72,96","0,08","0,86",2,"0,00"
27269,"0,19","0,00","0,01","0,32","86,97","0,21","1,52",3,"0,01"
22652,"0,40","0,01","0,05","0,72","87,67","0,52","2,73",4,"0,07"
41052,"0,51","0,02","0,17","0,91","86,88","0,82","3,27",5,"0,12"
24206,"0,64","0,05","0,41","1,23","81,74","1,35","4,19",6,"0,25"
40897,"0,65","0,08","0,70","1,22","69,68","1,83","4,86",7,"0,40"
23978,"0,57","0,11","1,12","1,41","59,88","2,31","5,12",8,"0,51"
25987,"0,49","0,12","1,27","1,38","52,67","2,33","4,76",9,"0,45"
27055,"0,37","0,10","1,13","1,18","41,86","1,93","4,14",10,"0,33"
28190,"0,23","0,07","0,75","0,80","27,02","1,24","3,41",11,"0,19"
45991,"0,11","0,04","0,37","0,37","12,77","0,61","2,72",12,"0,09"
26631,"0,05","0,01","0,15","0,17","4,97","0,26","2,22",13,"0,04"
27214,"0,02","0,00","0,05","0,06","1,74","0,09","1,89",14,"0,02"
43987,"0,01","0,00","0,03","0,02","0,73","0,05","1,78",15,"0,01"
24642,"0,00","0,00","0,02","0,01","0,43","0,03","1,83",16,"0,01"
28161,"0,00","0,00","0,02","0,01","0,35","0,03","1,78",17,"0,01"
31142,"0,00","0,00","0,02","0,01","0,33","0,03","1,93",18,"0,01"
339,"0,00","0,00","0,03","0,01","0,60","0,04","1,48",19,"0,01"
20,"0,00","0,00","0,20","0,05","0,75","0,20","1,00",20,
-1,"-1,00","-1,00","-1,00","-1,00","-1,00","-1,00",,21,"-1,00"
