Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8526,"0,06","0,00","0,00","0,10","75,77","0,06","0,88",2,"0,00"
35060,"0,15","0,00","0,01","0,33","86,71","0,17","1,40",3,"0,01"
33073,"0,33","0,01","0,08","0,67","87,65","0,46","2,47",4,"0,05"
51827,"0,43","0,03","0,28","0,85","87,13","0,87","3,32",5,"0,13"
34945,"0,52","0,07","0,70","1,04","82,17","1,57","4,57",6,"0,27"
53825,"0,54","0,12","1,24","1,04","71,12","2,36","5,47",7,"0,47"
34918,"0,50","0,16","2,00","1,18","60,43","3,29","6,08",8,"0,62"
35331,"0,44","0,19","2,51","1,23","53,07","3,84","6,17",9,"0,70"
36100,"0,35","0,16","2,36","1,06","42,77","3,41","5,59",10,"0,54"
35945,"0,24","0,12","1,67","0,73","27,09","2,37","4,69",11,"0,33"
54592,"0,13","0,07","0,87","0,35","13,61","1,24","3,86",12,"0,17"
34167,"0,05","0,03","0,37","0,15","5,13","0,52","3,15",13,"0,07"
34607,"0,02","0,01","0,14","0,06","1,92","0,21","2,54",14,"0,03"
55010,"0,01","0,00","0,07","0,02","0,79","0,09","2,20",15,"0,01"
32948,"0,00","0,00","0,05","0,01","0,45","0,06","2,15",16,"0,01"
31031,"0,00","0,00","0,04","0,01","0,34","0,05","2,11",17,"0,01"
26748,"0,00","0,00","0,04","0,01","0,30","0,05","2,08",18,"0,00"
470,"0,01","0,00","0,05","0,00","0,63","0,06","1,49",19,
24,"0,00","0,00","0,42","0,04","1,25","0,42","3,28",20,
