Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
9002,"0,07","0,00","0,00","0,12","75,63","0,07","0,90",2,"0,00"
36526,"0,13","0,00","0,01","0,31","86,81","0,15","1,36",3,"0,01"
32752,"0,29","0,01","0,07","0,68","87,70","0,43","2,35",4,"0,06"
51404,"0,44","0,03","0,26","0,88","87,13","0,86","3,44",5,"0,13"
35631,"0,53","0,07","0,66","1,08","82,11","1,56","4,67",6,"0,30"
52198,"0,51","0,10","1,13","1,07","70,99","2,19","5,32",7,"0,44"
35441,"0,46","0,14","1,80","1,17","60,36","3,03","5,98",8,"0,62"
35910,"0,40","0,17","2,25","1,26","53,23","3,44","5,85",9,"0,61"
35795,"0,33","0,15","2,21","1,08","42,79","3,23","5,41",10,"0,53"
36155,"0,23","0,11","1,54","0,75","27,37","2,19","4,61",11,"0,32"
52399,"0,12","0,06","0,81","0,37","13,30","1,14","3,71",12,"0,16"
34725,"0,05","0,03","0,35","0,16","5,38","0,50","3,01",13,"0,07"
35450,"0,02","0,01","0,14","0,06","1,88","0,20","2,44",14,"0,03"
50835,"0,01","0,00","0,06","0,02","0,78","0,08","2,00",15,"0,01"
31934,"0,00","0,00","0,04","0,01","0,43","0,06","2,06",16,"0,01"
34593,"0,00","0,00","0,04","0,01","0,33","0,05","2,14",17,"0,00"
27695,"0,00","0,00","0,05","0,01","0,30","0,06","2,66",18,"0,01"
1112,"0,00","0,00","0,04","0,01","0,26","0,04","1,63",19,
22,"0,00","0,00","0,00","0,00","1,64","0,00","0,00",20,
