Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8707,"0,08","0,00","0,00","0,13","72,95","0,09","0,92",2,"0,00"
31400,"0,20","0,00","0,01","0,38","86,95","0,22","1,64",3,"0,02"
22554,"0,43","0,01","0,06","0,79","87,68","0,57","2,91",4,"0,07"
43712,"0,52","0,03","0,21","0,94","86,94","0,89","3,53",5,"0,14"
27728,"0,63","0,06","0,50","1,20","81,49","1,44","4,43",6,"0,25"
46915,"0,56","0,08","0,82","1,16","69,93","1,84","4,75",7,"0,38"
29646,"0,51","0,11","1,22","1,34","60,04","2,30","5,13",8,"0,46"
29701,"0,45","0,12","1,48","1,37","52,93","2,52","5,01",9,"0,47"
31781,"0,34","0,10","1,33","1,19","42,75","2,11","4,36",10,"0,33"
30893,"0,23","0,08","0,96","0,84","27,52","1,49","3,76",11,"0,22"
52096,"0,12","0,04","0,42","0,38","12,96","0,67","2,80",12,"0,09"
28718,"0,05","0,02","0,19","0,18","5,07","0,30","2,30",13,"0,04"
29247,"0,02","0,01","0,07","0,06","1,80","0,11","1,77",14,"0,02"
48201,"0,00","0,00","0,03","0,02","0,73","0,05","1,75",15,"0,01"
26030,"0,00","0,00","0,03","0,01","0,43","0,04","1,66",16,"0,01"
28928,"0,00","0,00","0,03","0,01","0,33","0,03","1,67",17,"0,00"
32478,"0,00","0,00","0,03","0,01","0,29","0,04","1,79",18,"0,00"
207,"0,00","0,00","0,01","0,00","0,29","0,01","0,70",19,
21,"0,00","0,00","0,05","0,14","1,43","0,05","0,50",20,
