Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
6913,"0,10","0,00","0,00","0,13","72,16","0,10","1,00",2,"0,00"
27214,"0,25","0,00","0,01","0,37","86,95","0,27","1,93",3,"0,01"
21102,"0,40","0,01","0,05","0,69","87,69","0,49","2,41",4,"0,03"
39698,"0,55","0,02","0,18","0,94","86,91","0,88","3,46",5,"0,12"
23839,"0,73","0,05","0,44","1,22","81,68","1,51","4,60",6,"0,28"
42044,"0,70","0,08","0,71","1,27","69,80","1,88","4,83",7,"0,38"
22735,"0,67","0,11","1,06","1,41","59,94","2,35","5,24",8,"0,51"
23538,"0,58","0,11","1,26","1,40","52,32","2,44","4,97",9,"0,49"
22651,"0,45","0,10","1,15","1,21","41,72","2,08","4,41",10,"0,38"
24243,"0,26","0,07","0,72","0,78","26,61","1,26","3,47",11,"0,21"
41485,"0,12","0,03","0,32","0,35","12,12","0,56","2,60",12,"0,09"
24102,"0,05","0,01","0,13","0,16","4,81","0,22","2,01",13,"0,03"
25048,"0,02","0,01","0,05","0,05","1,65","0,09","1,90",14,"0,02"
41095,"0,00","0,00","0,02","0,02","0,67","0,04","1,58",15,"0,01"
22061,"0,00","0,00","0,02","0,01","0,45","0,03","1,86",16,"0,01"
23881,"0,00","0,00","0,02","0,01","0,35","0,03","1,61",17,"0,01"
23859,"0,00","0,00","0,02","0,01","0,28","0,03","2,18",18,"0,01"
10287,"0,00","0,00","0,03","0,01","0,31","0,03","1,88",19,"0,00"
39,"0,00","0,00","0,00","0,00","1,00","0,00","0,00",20,
-1,"-1,00","-1,00","-1,00","-1,00","-1,00","-1,00",,21,"-1,00"
-1,"-1,00","-1,00","-1,00","-1,00","-1,00","-1,00",,22,"-1,00"
