Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8349,"0,12","0,00","0,00","0,14","73,33","0,13","1,38",2,"0,01"
29412,"0,20","0,00","0,01","0,37","86,80","0,22","1,69",3,"0,02"
25874,"0,36","0,01","0,06","0,73","87,71","0,48","2,54",4,"0,05"
46247,"0,48","0,02","0,19","0,90","87,08","0,80","3,24",5,"0,11"
31973,"0,59","0,06","0,49","1,17","81,69","1,37","4,34",6,"0,23"
49901,"0,59","0,08","0,84","1,16","70,43","1,89","4,87",7,"0,37"
31587,"0,56","0,11","1,35","1,37","60,14","2,52","5,37",8,"0,50"
31729,"0,49","0,12","1,64","1,43","52,95","2,76","5,26",9,"0,50"
32861,"0,37","0,12","1,48","1,24","42,86","2,33","4,60",10,"0,36"
32380,"0,23","0,08","1,03","0,88","27,31","1,58","3,86",11,"0,23"
50375,"0,12","0,04","0,48","0,39","13,26","0,76","3,06",12,"0,12"
30003,"0,05","0,02","0,23","0,19","5,15","0,36","2,64",13,"0,06"
30346,"0,02","0,01","0,08","0,07","1,81","0,13","2,15",14,"0,03"
49076,"0,01","0,00","0,04","0,02","0,72","0,06","1,78",15,"0,01"
28342,"0,00","0,00","0,03","0,01","0,42","0,04","1,79",16,"0,01"
29349,"0,00","0,00","0,03","0,01","0,35","0,04","1,80",17,"0,01"
29096,"0,00","0,00","0,03","0,01","0,29","0,04","1,99",18,"0,00"
186,"0,02","0,01","0,04","0,03","0,77","0,19","3,45",19,"0,13"
19,"0,00","0,00","0,00","0,00","0,53","0,00","0,00",20,
