Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
9233,"0,05","0,00","0,00","0,10","74,94","0,05","0,78",2,"0,00"
36333,"0,13","0,00","0,01","0,32","86,80","0,15","1,31",3,"0,01"
35318,"0,29","0,01","0,05","0,61","87,67","0,40","2,36",4,"0,05"
50604,"0,43","0,03","0,24","0,85","87,10","0,84","3,43",5,"0,14"
36809,"0,55","0,07","0,62","1,08","81,98","1,52","4,61",6,"0,29"
51794,"0,49","0,10","1,07","1,09","70,76","2,08","5,13",7,"0,42"
37134,"0,47","0,13","1,63","1,22","60,13","2,83","5,80",8,"0,60"
35199,"0,41","0,15","2,08","1,24","53,25","3,26","5,81",9,"0,62"
35590,"0,33","0,14","2,00","1,14","42,88","2,97","5,27",10,"0,50"
36801,"0,23","0,10","1,43","0,80","27,17","2,10","4,47",11,"0,33"
53739,"0,12","0,05","0,73","0,39","13,42","1,05","3,58",12,"0,15"
35611,"0,05","0,03","0,33","0,18","5,23","0,49","3,04",13,"0,08"
35578,"0,02","0,01","0,12","0,06","1,87","0,18","2,51",14,"0,03"
51265,"0,01","0,00","0,06","0,02","0,77","0,08","2,05",15,"0,01"
32936,"0,00","0,00","0,04","0,01","0,47","0,06","2,05",16,"0,01"
34785,"0,00","0,00","0,04","0,01","0,33","0,05","2,24",17,"0,01"
31972,"0,00","0,00","0,04","0,01","0,31","0,05","2,18",18,"0,00"
321,"0,00","0,00","0,03","0,01","0,23","0,03","1,53",19,
19,"0,00","0,00","0,11","0,00","0,95","0,11","0,94",20,
