Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8654,"0,07","0,00","0,00","0,13","75,91","0,08","1,01",2,"0,00"
35954,"0,17","0,00","0,01","0,35","86,61","0,19","1,52",3,"0,01"
33488,"0,34","0,01","0,08","0,66","87,65","0,47","2,44",4,"0,04"
51074,"0,45","0,03","0,28","0,81","87,11","0,90","3,46",5,"0,13"
35591,"0,61","0,08","0,77","1,04","82,18","1,78","4,90",6,"0,31"
51903,"0,58","0,13","1,41","1,02","70,83","2,61","5,64",7,"0,48"
36063,"0,53","0,18","2,22","1,11","60,25","3,62","6,31",8,"0,69"
37030,"0,46","0,19","2,59","1,10","53,11","3,95","6,23",9,"0,70"
37279,"0,37","0,17","2,50","0,96","42,58","3,59","5,62",10,"0,55"
37138,"0,25","0,13","1,80","0,67","27,70","2,55","4,91",11,"0,36"
55118,"0,14","0,07","0,94","0,33","13,32","1,30","3,93",12,"0,16"
36166,"0,06","0,03","0,39","0,14","5,24","0,55","3,25",13,"0,08"
36741,"0,02","0,01","0,15","0,05","1,81","0,21","2,62",14,"0,03"
53623,"0,01","0,00","0,07","0,02","0,78","0,09","2,27",15,"0,01"
31957,"0,00","0,00","0,05","0,01","0,44","0,06","2,14",16,"0,01"
31433,"0,00","0,00","0,05","0,01","0,35","0,06","2,05",17,"0,01"
26980,"0,00","0,00","0,05","0,01","0,31","0,06","2,18",18,"0,00"
458,"0,00","0,00","0,06","0,01","0,39","0,08","2,87",19,"0,01"
19,"0,00","0,00","0,00","0,00","1,05","0,00","0,00",20,
