Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8176,"0,11","0,00","0,00","0,14","72,31","0,12","1,23",2,"0,00"
26008,"0,21","0,00","0,01","0,33","86,93","0,24","1,60",3,"0,01"
25403,"0,41","0,01","0,07","0,69","87,70","0,55","2,53",4,"0,05"
37615,"0,59","0,02","0,23","0,96","87,00","1,00","3,77",5,"0,15"
29194,"0,70","0,05","0,42","1,17","81,80","1,43","4,39",6,"0,26"
39381,"0,71","0,07","0,67","1,24","69,93","1,86","4,89",7,"0,41"
29080,"0,70","0,10","1,05","1,43","60,11","2,43","5,30",8,"0,58"
31717,"0,58","0,10","1,19","1,40","52,63","2,39","4,97",9,"0,52"
29849,"0,46","0,10","1,10","1,21","42,39","2,03","4,33",10,"0,37"
29378,"0,29","0,06","0,74","0,83","27,24","1,30","3,59",11,"0,22"
36965,"0,13","0,04","0,35","0,37","12,45","0,61","2,70",12,"0,10"
27221,"0,05","0,01","0,14","0,15","4,94","0,25","2,15",13,"0,04"
29643,"0,02","0,00","0,04","0,05","1,65","0,08","1,54",14,"0,02"
38285,"0,01","0,00","0,02","0,02","0,70","0,04","1,45",15,"0,01"
27618,"0,00","0,00","0,02","0,01","0,42","0,03","1,86",16,"0,01"
28954,"0,00","0,00","0,02","0,01","0,36","0,03","1,68",17,"0,01"
25628,"0,00","0,00","0,02","0,01","0,34","0,03","1,53",18,"0,00"
20484,"0,00","0,00","0,03","0,01","0,30","0,03","1,90",19,"0,00"
21136,"0,00","0,00","0,03","0,01","0,26","0,03","2,13",20,"0,00"
19068,"0,00","0,00","0,03","0,01","0,28","0,04","2,07",21,"0,00"
40,"0,00","0,00","0,00","0,00","1,48","0,00","0,00",22,
