Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8735,"0,06","0,00","0,00","0,11","75,60","0,06","0,74",2,"0,00"
34891,"0,15","0,00","0,01","0,31","86,77","0,16","1,36",3,"0,01"
31180,"0,28","0,01","0,05","0,65","87,68","0,38","2,15",4,"0,04"
52835,"0,40","0,02","0,19","0,80","87,10","0,73","3,20",5,"0,12"
34999,"0,53","0,06","0,54","1,10","82,02","1,37","4,29",6,"0,24"
53863,"0,52","0,09","0,94","1,09","70,99","1,93","4,99",7,"0,39"
34159,"0,48","0,13","1,55","1,30","60,48","2,68","5,58",8,"0,51"
34350,"0,43","0,13","1,83","1,29","53,24","2,93","5,44",9,"0,55"
34946,"0,34","0,13","1,80","1,13","42,88","2,73","5,08",10,"0,46"
34333,"0,23","0,10","1,30","0,80","27,98","1,90","4,23",11,"0,28"
53133,"0,12","0,05","0,68","0,38","13,54","1,02","3,55",12,"0,17"
34731,"0,05","0,02","0,30","0,18","5,38","0,43","2,89",13,"0,06"
33512,"0,02","0,01","0,11","0,06","1,82","0,16","2,22",14,"0,02"
51959,"0,01","0,00","0,06","0,02","0,84","0,09","2,46",15,"0,02"
31614,"0,00","0,00","0,04","0,01","0,48","0,06","2,09",16,"0,01"
33685,"0,00","0,00","0,04","0,01","0,37","0,05","2,34",17,"0,01"
28958,"0,00","0,00","0,04","0,01","0,29","0,05","2,16",18,"0,00"
530,"0,00","0,00","0,08","0,01","0,31","0,09","3,21",19,"0,01"
31,"0,00","0,00","0,06","0,00","0,32","0,06","1,00",20,
