Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8382,"0,08","0,00","0,00","0,13","75,12","0,10","1,13",2,"0,01"
31401,"0,16","0,00","0,01","0,34","86,88","0,18","1,49",3,"0,01"
28453,"0,32","0,01","0,05","0,70","87,72","0,43","2,29",4,"0,05"
49597,"0,45","0,02","0,19","0,87","87,10","0,78","3,26",5,"0,11"
34475,"0,55","0,05","0,51","1,14","81,80","1,36","4,31",6,"0,24"
51989,"0,54","0,08","0,85","1,12","70,61","1,83","4,84",7,"0,35"
33825,"0,52","0,12","1,44","1,41","60,25","2,60","5,42",8,"0,52"
34699,"0,45","0,13","1,65","1,40","53,15","2,72","5,27",9,"0,50"
34377,"0,34","0,12","1,61","1,25","42,87","2,48","4,79",10,"0,41"
34319,"0,24","0,08","1,12","0,85","28,06","1,71","4,04",11,"0,27"
49016,"0,12","0,04","0,54","0,40","13,39","0,83","3,18",12,"0,12"
31277,"0,05","0,02","0,24","0,19","5,35","0,38","2,71",13,"0,07"
32814,"0,02","0,01","0,10","0,06","1,79","0,15","2,22",14,"0,03"
50111,"0,01","0,00","0,04","0,02","0,73","0,06","1,72",15,"0,01"
30911,"0,00","0,00","0,03","0,01","0,44","0,05","1,84",16,"0,01"
31732,"0,00","0,00","0,03","0,01","0,34","0,04","2,06",17,"0,01"
30195,"0,00","0,00","0,04","0,01","0,30","0,04","1,91",18,"0,00"
255,"0,00","0,00","0,08","0,00","0,49","0,08","1,58",19,
25,"0,00","0,00","0,24","0,16","1,80","0,24","1,63",20,
