Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
7071,"0,10","0,00","0,00","0,16","71,58","0,10","1,08",2,"0,00"
27021,"0,19","0,00","0,01","0,33","86,86","0,20","1,46",3,"0,01"
21483,"0,41","0,01","0,05","0,71","87,69","0,51","2,60",4,"0,04"
41924,"0,60","0,02","0,20","0,99","86,91","0,94","3,58",5,"0,12"
24685,"0,72","0,05","0,44","1,27","81,58","1,46","4,44",6,"0,24"
42908,"0,68","0,07","0,71","1,24","69,51","1,83","4,70",7,"0,37"
23409,"0,68","0,10","1,12","1,47","59,70","2,42","5,34",8,"0,52"
24084,"0,54","0,12","1,32","1,43","52,20","2,46","4,97",9,"0,48"
24599,"0,40","0,10","1,16","1,22","41,56","2,00","4,24",10,"0,35"
24890,"0,25","0,07","0,73","0,82","26,43","1,26","3,41",11,"0,20"
47053,"0,11","0,03","0,32","0,36","12,14","0,55","2,60",12,"0,08"
24584,"0,05","0,01","0,15","0,16","4,78","0,25","2,30",13,"0,04"
26898,"0,01","0,00","0,05","0,05","1,60","0,08","1,62",14,"0,01"
43971,"0,01","0,00","0,03","0,02","0,72","0,04","1,59",15,"0,01"
23972,"0,00","0,00","0,02","0,01","0,44","0,03","1,59",16,"0,01"
25148,"0,00","0,00","0,02","0,01","0,35","0,03","1,70",17,"0,01"
28253,"0,00","0,00","0,02","0,01","0,33","0,03","1,66",18,"0,00"
267,"0,00","0,00","0,04","0,00","0,55","0,04","1,89",19,
18,,,,,"0,00",,,20,
