Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8613,"0,10","0,00","0,00","0,15","72,27","0,11","1,13",2,"0,00"
32857,"0,18","0,00","0,01","0,34","86,98","0,20","1,58",3,"0,01"
23066,"0,38","0,01","0,06","0,78","87,69","0,51","2,50",4,"0,06"
44157,"0,52","0,02","0,20","0,94","86,95","0,90","3,70",5,"0,16"
25788,"0,65","0,06","0,51","1,26","81,39","1,49","4,51",6,"0,26"
46550,"0,59","0,08","0,81","1,19","69,99","1,87","4,85",7,"0,39"
27074,"0,50","0,10","1,20","1,40","59,77","2,28","5,05",8,"0,47"
29604,"0,42","0,12","1,38","1,37","52,77","2,35","4,89",9,"0,43"
31406,"0,35","0,11","1,28","1,21","42,40","2,08","4,37",10,"0,34"
31524,"0,22","0,07","0,86","0,82","27,23","1,35","3,58",11,"0,20"
51367,"0,11","0,04","0,41","0,38","12,84","0,66","2,83",12,"0,10"
28553,"0,04","0,02","0,18","0,17","4,96","0,28","2,34",13,"0,04"
29319,"0,02","0,01","0,07","0,06","1,75","0,11","1,90",14,"0,02"
48258,"0,01","0,00","0,03","0,02","0,76","0,05","2,15",15,"0,01"
26530,"0,00","0,00","0,02","0,01","0,44","0,03","1,78",16,"0,01"
29425,"0,00","0,00","0,02","0,01","0,33","0,03","1,55",17,"0,00"
31164,"0,00","0,00","0,02","0,01","0,30","0,03","1,66",18,"0,00"
157,"0,00","0,01","0,01","0,03","0,38","0,03","0,87",19,
17,"0,00","0,00","0,00","0,00","0,59","0,00","0,00",20,
