Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
8318,"0,07","0,00","0,00","0,13","76,12","0,08","0,98",2,"0,00"
31788,"0,16","0,00","0,01","0,33","86,71","0,18","1,42",3,"0,01"
30964,"0,32","0,01","0,08","0,59","87,64","0,45","2,39",4,"0,04"
47940,"0,50","0,04","0,33","0,75","86,95","1,01","3,64",5,"0,14"
32595,"0,65","0,10","0,89","0,96","82,06","1,96","5,00",6,"0,32"
49289,"0,61","0,14","1,57","0,90","70,54","2,84","5,78",7,"0,52"
33687,"0,55","0,18","2,33","0,96","60,25","3,73","6,35",8,"0,67"
33012,"0,47","0,20","2,82","0,97","52,81","4,19","6,27",9,"0,70"
33887,"0,38","0,19","2,70","0,84","42,81","3,83","5,80",10,"0,57"
34825,"0,26","0,13","1,95","0,61","27,54","2,69","4,94",11,"0,34"
51889,"0,13","0,07","0,99","0,29","13,33","1,35","4,04",12,"0,16"
35105,"0,06","0,03","0,45","0,13","5,23","0,60","3,40",13,"0,06"
35076,"0,02","0,01","0,17","0,05","1,88","0,23","2,73",14,"0,02"
49888,"0,01","0,00","0,07","0,02","0,81","0,09","2,20",15,"0,01"
30720,"0,00","0,00","0,05","0,01","0,46","0,06","2,14",16,"0,01"
28254,"0,00","0,00","0,05","0,01","0,35","0,05","2,10",17,"0,00"
24322,"0,00","0,00","0,05","0,01","0,32","0,06","2,07",18,"0,00"
510,"0,00","0,01","0,06","0,01","0,45","0,08","2,10",19,"0,01"
29,"0,00","0,00","0,03","0,07","0,93","0,03","0,50",20,
