Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
7740,"0,08","0,00","0,00","0,12","73,20","0,08","0,89",2,"0,00"
31737,"0,20","0,00","0,01","0,38","86,89","0,23","1,79",3,"0,02"
23262,"0,41","0,01","0,07","0,76","87,68","0,56","2,76",4,"0,07"
44596,"0,50","0,02","0,21","0,94","87,03","0,87","3,43",5,"0,13"
27980,"0,63","0,06","0,49","1,21","81,58","1,41","4,32",6,"0,24"
50188,"0,54","0,08","0,82","1,15","70,09","1,82","4,80",7,"0,37"
29492,"0,53","0,12","1,34","1,35","60,17","2,48","5,34",8,"0,50"
31139,"0,45","0,12","1,51","1,35","52,81","2,53","4,99",9,"0,44"
31198,"0,38","0,12","1,45","1,23","42,53","2,31","4,58",10,"0,37"
31055,"0,23","0,08","0,96","0,83","27,34","1,50","3,77",11,"0,22"
49074,"0,12","0,04","0,46","0,39","12,96","0,73","2,96",12,"0,11"
28051,"0,05","0,02","0,20","0,18","5,08","0,31","2,32",13,"0,05"
28628,"0,01","0,00","0,08","0,06","1,77","0,12","2,00",14,"0,02"
46416,"0,01","0,00","0,03","0,02","0,74","0,05","1,78",15,"0,01"
26486,"0,00","0,00","0,03","0,01","0,42","0,04","1,71",16,"0,01"
29475,"0,00","0,00","0,02","0,01","0,32","0,03","1,69",17,"0,01"
30440,"0,00","0,00","0,03","0,01","0,32","0,04","1,81",18,"0,00"
257,"0,00","0,00","0,02","0,01","0,82","0,02","1,29",19,
21,"0,05","0,00","0,00","0,00","0,48","0,05","0,00",20,
